timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 23:06:03.450, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:06:03.450, [N/A], 93 MiB, 80987 MiB, 25
2026/03/19 23:06:03.451, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:06:03.451, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/19 23:06:03.452, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:06:03.452, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:07:03.452, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:07:03.453, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:07:03.453, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:07:03.454, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:07:03.455, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:07:03.455, 64 %, 2025 MiB, 93295 MiB, 60
2026/03/19 23:07:03.455, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:07:03.455, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:08:03.457, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:08:03.457, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:08:03.458, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:08:03.458, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:08:03.459, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:08:03.460, 96 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:08:03.460, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:08:03.460, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:09:03.461, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:09:03.462, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:09:03.462, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:09:03.463, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:09:03.463, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:09:03.464, 97 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:09:03.464, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:09:03.464, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:10:03.465, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:10:03.466, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:10:03.466, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:10:03.467, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:10:03.468, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:10:03.468, 90 %, 2025 MiB, 93295 MiB, 64
2026/03/19 23:10:03.468, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:10:03.468, 93 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:11:03.469, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:11:03.470, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:11:03.470, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:11:03.471, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:11:03.471, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:11:03.472, 72 %, 2025 MiB, 93295 MiB, 62
2026/03/19 23:11:03.472, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:11:03.472, 95 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:12:03.472, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:12:03.473, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:12:03.474, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:12:03.474, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:12:03.475, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:12:03.475, 97 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:12:03.475, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:12:03.475, 99 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:13:03.476, [N/A], 27305 MiB, 68016 MiB, 36
2026/03/19 23:13:03.477, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 23:13:03.477, [N/A], 93 MiB, 80987 MiB, 29
2026/03/19 23:13:03.478, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:13:03.479, [N/A], 68 MiB, 95252 MiB, 31
2026/03/19 23:13:03.479, 98 %, 2025 MiB, 93295 MiB, 68
2026/03/19 23:13:03.479, 0 %, 4 MiB, 95317 MiB, 29
2026/03/19 23:13:03.479, 100 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:14:03.480, [N/A], 27305 MiB, 68016 MiB, 36
2026/03/19 23:14:03.481, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 23:14:03.482, [N/A], 93 MiB, 80987 MiB, 29
2026/03/19 23:14:03.482, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:14:03.483, [N/A], 68 MiB, 95252 MiB, 31
2026/03/19 23:14:03.483, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:14:03.483, 0 %, 4 MiB, 95317 MiB, 29
2026/03/19 23:14:03.483, 100 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:15:03.484, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:15:03.485, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:15:03.486, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:15:03.486, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:15:03.487, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:15:03.487, 0 %, 2025 MiB, 93295 MiB, 60
2026/03/19 23:15:03.487, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:15:03.487, 79 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:16:03.488, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:16:03.489, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:16:03.489, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:16:03.490, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:16:03.490, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:16:03.491, 0 %, 2025 MiB, 93295 MiB, 60
2026/03/19 23:16:03.491, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:16:03.491, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:17:03.492, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:17:03.492, [N/A], 93 MiB, 95227 MiB, 30
2026/03/19 23:17:03.493, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:17:03.493, [N/A], 93 MiB, 80987 MiB, 25
2026/03/19 23:17:03.494, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:17:03.495, 65 %, 2025 MiB, 93295 MiB, 65
2026/03/19 23:17:03.495, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:17:03.495, 95 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:18:03.495, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:18:03.496, [N/A], 93 MiB, 95227 MiB, 30
2026/03/19 23:18:03.497, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:18:03.497, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:18:03.498, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:18:03.498, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:18:03.498, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:18:03.498, 100 %, 61783 MiB, 33538 MiB, 59
2026/03/19 23:19:03.499, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:19:03.500, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:19:03.500, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:19:03.501, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:19:03.502, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:19:03.502, 64 %, 2025 MiB, 93295 MiB, 60
2026/03/19 23:19:03.502, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:19:03.502, 95 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:20:03.503, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:20:03.503, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:20:03.504, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:20:03.505, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:20:03.505, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:20:03.506, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:20:03.506, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:20:03.506, 96 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:21:03.506, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:21:03.507, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:21:03.507, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:21:03.508, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:21:03.509, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:21:03.509, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:21:03.509, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:21:03.509, 91 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:22:03.510, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:22:03.511, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:22:03.511, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:22:03.512, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:22:03.513, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:22:03.513, 97 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:22:03.513, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:22:03.513, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:23:03.514, [N/A], 27305 MiB, 68016 MiB, 34
