timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 02:24:37.387, 91 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:25:37.388, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:25:37.389, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:25:37.389, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:25:37.390, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:25:37.391, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:25:37.391, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:25:37.391, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:25:37.391, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:26:37.392, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:26:37.393, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:26:37.394, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:26:37.394, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:26:37.395, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:26:37.395, 14 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:26:37.395, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:26:37.395, 96 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:27:37.396, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:27:37.397, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:27:37.397, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:27:37.398, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:27:37.398, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:27:37.399, 22 %, 2025 MiB, 93295 MiB, 61
2026/03/20 02:27:37.399, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:27:37.399, 94 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:28:37.400, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:28:37.401, [N/A], 93 MiB, 95227 MiB, 30
